timestamp,elapsed,CC,RC,SC,CC_avg,RC_avg,SC_avg,ΔCC,ΔRC,ΔSC
1768811653.5676274,6.622049331665039,49,84,10,,,,,,
1768811653.629558,6.683896780014038,56,85,8,,,,,,
1768811653.6885126,6.7428505420684814,53,85,9,,,,,,
1768811653.7539077,6.809245824813843,50,85,11,,,,,,
1768811653.8156514,6.870989561080933,49,85,11,,,,,,
1768811653.8779507,6.933288812637329,49,87,10,,,,,,
1768811653.9404745,6.99481463432312,51,88,8,,,,,,
1768811654.0042977,7.05863881111145,53,86,9,,,,,,
1768811654.0648623,7.1192004680633545,58,85,9,,,,,,
1768811654.1300025,7.183346271514893,51,87,8,,,,,,
1768811654.190751,7.245093107223511,55,89,8,,,,,,
1768811654.2503314,7.305669546127319,49,90,10,,,,,,
1768811654.3154087,7.369751453399658,50,89,9,,,,,,
1768811654.381372,7.435712099075317,49,88,7,,,,,,
1768811654.4551346,7.510472774505615,52,88,8,,,,,,
1768811654.5185614,7.571899652481079,52,89,10,,,,,,
1768811654.5795846,7.633922815322876,51,89,10,,,,,,
1768811654.643603,7.697942018508911,54,88,10,,,,,,
1768811654.705956,7.760239839553833,55,87,11,,,,,,
1768811654.767814,7.822153568267822,52,88,10,,,,,,
1768811654.8309124,7.885251998901367,57,91,8,,,,,,
1768811654.8914716,7.946809768676758,60,95,8,,,,,,
1768811654.9542508,8.008591890335083,55,92,7,,,,,,
1768811655.01831,8.072649717330933,52,93,5,,,,,,
1768811655.0787015,8.133039474487305,53,94,4,,,,,,
1768811655.1407194,8.195064067840576,53,93,4,,,,,,
1768811655.2050817,8.259429693222046,56,93,5,,,,,,
1768811655.2666903,8.321029901504517,57,93,5,,,,,,
1768811655.3284597,8.383797883987427,57,93,5,,,,,,
1768811655.3972137,8.451551914215088,54,93,4,,,,,,
1768811655.4738264,8.528165102005005,50,95,7,,,,,,
1768811655.5394888,8.593907594680786,53,95,5,,,,,,
1768811655.614317,8.669655084609985,51,95,4,,,,,,
1768811655.6754787,8.729819536209106,52,95,4,,,,,,
1768811655.7398293,8.794177532196045,57,100,3,,,,,,
1768811655.801519,8.856857061386108,59,100,2,,,,,,
1768811655.8803153,8.934656620025635,53,100,5,,,,,,
1768811655.9430773,8.998415470123291,56,100,3,,,,,,
1768811656.0080013,9.06234097480774,57,100,3,,,,,,
1768811656.0858414,9.140180349349976,53,100,2,,,,,,
1768811656.1640792,9.219417333602905,50,100,3,,,,,,
1768811656.2436047,9.297942638397217,57,100,4,,,,,,
1768811656.3187108,9.374048948287964,60,100,3,,,,,,
1768811656.3982468,9.452586650848389,53,100,2,,,,,,
1768811656.4764984,9.53183650970459,58,100,3,,,,,,
1768811656.5535667,9.608904838562012,58,100,4,,,,,,
1768811656.6338944,9.688232421875,53,100,1,,,,,,
1768811656.7103899,9.764831304550171,56,100,1,,,,,,
1768811656.7897444,9.845082521438599,60,100,5,,,,,,
1768811656.8708324,9.925172567367554,56,100,4,,,,,,
1768811656.9470797,10.001420497894287,60,100,1,,,,,,
1768811657.0257635,10.080120086669922,61,100,1,,,,,,
1768811657.1028845,10.157227277755737,54,100,3,,,,,,
1768811657.1851194,10.239458322525024,53,100,4,,,,,,
1768811657.2597404,10.31407880783081,56,100,3,,,,,,
1768811657.3381386,10.392475605010986,57,100,3,,,,,,
1768811657.4150264,10.469380140304565,56,100,2,,,,,,
1768811657.4957652,10.551103353500366,54,100,4,,,,,,
1768811657.5731504,10.62749195098877,54,100,5,,,,,,
1768811657.6518357,10.707173824310303,59,100,5,,,,,,
1768811657.731502,10.786114692687988,54,100,2,,,,,,
1768811657.8061442,10.860573768615723,52,100,0,,,,,,
1768811657.887137,10.942475080490112,53,100,2,,,,,,
1768811657.9644384,11.018775224685669,56,100,4,,,,,,
1768811658.0430803,11.098418474197388,56,100,3,,,,,,
1768811658.1234026,11.17775011062622,60,100,2,,,,,,
1768811658.1992855,11.254623651504517,55,100,3,,,,,,
1768811658.2776806,11.333018779754639,51,100,4,,,,,,
1768811658.3567827,11.412120819091797,52,100,5,,,,,,
1768811658.434812,11.489154577255249,53,100,4,,,,,,
1768811658.510143,11.564779281616211,51,100,4,,,,,,
1768811658.5905907,11.645928859710693,54,100,3,,,,,,
1768811658.6684055,11.722745418548584,57,100,2,,,,,,
1768811658.748018,11.802352905273438,53,100,3,,,,,,
1768811658.8246787,11.879017114639282,52,100,6,,,,,,
1768811658.9056287,11.959966659545898,50,100,6,,,,,,
1768811658.9670742,12.022412300109863,51,100,7,,,,,,
1768811659.0289502,12.083290815353394,54,100,9,,,,,,
1768811659.0881739,12.14351201057434,54,100,7,,,,,,
1768811659.1537604,12.208174705505371,51,100,7,,,,,,
1768811659.233916,12.288256883621216,50,100,8,,,,,,
1768811659.2960563,12.349397420883179,49,100,7,,,,,,
1768811659.355457,12.40979528427124,53,100,7,,,,,,
1768811659.4357352,12.490082263946533,51,100,8,,,,,,
1768811659.515531,12.569873332977295,52,100,9,,,,,,
1768811659.57519,12.62956190109253,54,100,9,,,,,,
1768811659.6571891,12.711327075958252,53,100,10,,,,,,
1768811659.717052,12.772390127182007,53,100,9,,,,,,
1768811659.7935488,12.848886966705322,52,100,7,,,,,,
1768811659.8729823,12.927686214447021,54,100,9,,,,,,
1768811659.9504929,13.004837989807129,54,100,11,,,,,,
1768811660.0276358,13.082973957061768,56,100,10,,,,,,
1768811660.1064982,13.160840034484863,52,100,9,,,,,,
1768811660.1809838,13.23532509803772,53,100,10,,,,,,
1768811660.258966,13.314304113388062,53,100,11,,,,,,
1768811660.3374755,13.391815185546875,55,100,11,,,,,,
1768811660.4184241,13.472760677337646,54,100,10,,,,,,
1768811660.4974358,13.551778316497803,57,100,11,,,,,,
1768811660.5741909,13.628520250320435,58,100,12,,,,,,
1768811660.654221,13.708559274673462,53,100,10,,,,,,
1768811660.731704,13.786042213439941,54,100,9,,,,,,
1768811660.8048599,13.859262704849243,53,100,9,,,,,,
1768811660.8866773,13.940985679626465,53,100,9,,,,,,
1768811660.9628994,14.017577648162842,55,100,10,,,,,,
1768811661.0417001,14.097038269042969,54,100,11,,,,,,
1768811661.1240406,14.178378582000732,56,100,9,,,,,,
1768811661.1999683,14.255306482315063,57,100,9,,,,,,
1768811661.275149,14.32948923110962,54,100,9,,,,,,
1768811661.3569367,14.41127610206604,55,100,10,,,,,,
1768811661.435754,14.490092515945435,50,100,10,,,,,,
1768811661.510972,14.565310955047607,55,100,7,,,,,,
1768811661.5742073,14.628536701202393,53,100,8,,,,,,
1768811661.639975,14.69399905204773,55,100,10,,,,,,
1768811661.6973262,14.75266432762146,54,100,9,,,,,,
1768811661.7655587,14.819902658462524,52,100,8,,,,,,
1768811661.8263643,14.880703926086426,49,100,11,,,,,,
1768811661.888351,14.94269061088562,53,100,8,,,,,,
1768811661.9540281,15.009366273880005,51,100,8,,,,,,
1768811662.0168126,15.072150707244873,53,100,8,,,,,,
1768811662.0765367,15.131874799728394,52,100,8,,,,,,
1768811662.1369014,15.191240787506104,54,100,8,,,,,,
1768811662.2030506,15.257391452789307,54,100,7,,,,,,
1768811662.2636132,15.317956686019897,52,100,8,,,,,,
1768811662.3264077,15.380750179290771,54,100,8,,,,,,
1768811662.390653,15.445991039276123,50,100,7,,,,,,
1768811662.452643,15.507981061935425,53,100,6,,,,,,
1768811662.5133514,15.568689584732056,51,100,7,,,,,,
1768811662.580947,15.636285066604614,53,100,8,,,,,,
1768811662.6434646,15.697803258895874,50,100,7,,,,,,
1768811662.706464,15.760798692703247,49,100,7,,,,,,
1768811662.7690969,15.823437452316284,49,100,7,,,,,,
1768811662.8292096,15.883548498153687,51,100,7,,,,,,
1768811662.894708,15.950046062469482,50,100,7,,,,,,
1768811662.955191,16.010529041290283,49,100,7,,,,,,
1768811663.015326,16.069664239883423,49,100,7,,,,,,
1768811663.080909,16.135250329971313,49,100,7,,,,,,
1768811663.142557,16.19689679145813,49,100,6,,,,,,
1768811663.2023325,16.257670640945435,52,100,7,,,,,,
1768811663.2680736,16.32341170310974,52,100,7,,,,,,
1768811663.3318768,16.386214017868042,50,100,7,,,,,,
1768811663.392379,16.446719884872437,50,100,8,,,,,,
1768811663.4553783,16.509706258773804,48,100,9,,,,,,
1768811663.5188134,16.574151515960693,50,100,9,,,,,,
1768811663.5790315,16.634369611740112,49,100,9,,,,,,
1768811663.6468189,16.701780080795288,49,100,8,,,,,,
1768811663.7216804,16.777018547058105,47,100,7,,,,,,
