timestamp,elapsed,CC,RC,SC,CC_avg,RC_avg,SC_avg,ΔCC,ΔRC,ΔSC
1768811069.4411087,12.045856714248657,30,20,36,,,,,,
1768811069.516056,12.12080717086792,29,20,35,,,,,,
1768811069.5955977,12.200347661972046,28,21,34,,,,,,
1768811069.6713333,12.277080774307251,28,21,33,,,,,,
1768811069.7506778,12.356425285339355,28,21,33,,,,,,
1768811069.8258853,12.43063497543335,27,20,34,,,,,,
1768811069.9058816,12.510631799697876,27,21,33,,,,,,
1768811069.9835718,12.5883207321167,27,20,34,,,,,,
1768811070.0616593,12.666409492492676,29,20,36,,,,,,
1768811070.1419501,12.747697591781616,28,20,35,,,,,,
1768811070.2136843,12.81852388381958,27,20,34,,,,,,
1768811070.2939894,12.898730754852295,28,19,36,,,,,,
1768811070.3722641,12.976667881011963,27,19,35,,,,,,
1768811070.4505973,13.056344747543335,26,20,33,,,,,,
1768811070.5277793,13.132527589797974,26,20,34,,,,,,
1768811070.605707,13.210453987121582,27,19,35,,,,,,
1768811070.684907,13.28965425491333,27,19,34,,,,,,
1768811070.7625303,13.368277788162231,27,20,33,,,,,,
1768811070.8429942,13.447745084762573,27,20,33,,,,,,
1768811070.91942,13.524167537689209,27,19,35,,,,,,
1768811070.994367,13.600114345550537,28,19,35,,,,,,
1768811071.0751176,13.680865049362183,27,20,34,,,,,,
1768811071.153056,13.757577896118164,28,19,35,,,,,,
1768811071.2289836,13.833732604980469,27,20,34,,,,,,
1768811071.3081434,13.912892580032349,27,20,33,,,,,,
1768811071.3876262,13.992375135421753,27,19,36,,,,,,
1768811071.4667368,14.0714852809906,28,18,37,,,,,,
1768811071.5451643,14.14991307258606,27,19,35,,,,,,
1768811071.6236298,14.22838306427002,27,20,35,,,,,,
1768811071.7012436,14.305992126464844,27,19,35,,,,,,
1768811071.781455,14.387202501296997,27,19,35,,,,,,
1768811071.8580687,14.462814331054688,27,19,35,,,,,,
1768811071.9368556,14.541605234146118,28,19,36,,,,,,
1768811072.0191689,14.623918056488037,28,18,36,,,,,,
1768811072.0963416,14.701091766357422,28,18,36,,,,,,
1768811072.1730707,14.778818130493164,27,19,36,,,,,,
1768811072.2514055,14.856155157089233,27,19,36,,,,,,
1768811072.3293092,14.934170007705688,28,18,37,,,,,,
1768811072.4098423,15.014593124389648,28,19,36,,,,,,
1768811072.472492,15.077245235443115,28,19,35,,,,,,
1768811072.5330968,15.137845277786255,28,18,37,,,,,,
1768811072.6112652,15.216012954711914,29,18,38,,,,,,
1768811072.6721437,15.277891159057617,28,18,36,,,,,,
1768811072.754352,15.359101295471191,28,18,37,,,,,,
1768811072.8143923,15.419142007827759,29,18,37,,,,,,
1768811072.8913198,15.496147871017456,28,18,37,,,,,,
1768811072.9686418,15.573391199111938,28,18,37,,,,,,
1768811073.0485418,15.653371334075928,30,18,39,,,,,,
1768811073.1264694,15.732216835021973,28,18,37,,,,,,
1768811073.2022963,15.807044506072998,28,18,36,,,,,,
1768811073.2817972,15.88675045967102,28,18,37,,,,,,
1768811073.361396,15.96614670753479,29,18,38,,,,,,
1768811073.432236,16.037983417510986,28,18,37,,,,,,
1768811073.5157065,16.120543956756592,28,18,37,,,,,,
1768811073.593781,16.199528455734253,28,18,37,,,,,,
1768811073.6691475,16.274894952774048,29,18,38,,,,,,
